"","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Rango_Age","Sobreviviente"
"39","Tercera clase","Femenino",18,"Con hermanos o cónyuges","Sin hijos ni padres",18,"Southampton","11-20","No"
"40","Tercera clase","Femenino",14,"Con hermanos o cónyuges","Sin hijos ni padres",11.2417,"Cherbourg","11-20","Sí"
"41","Tercera clase","Femenino",40,"Con hermanos o cónyuges","Sin hijos ni padres",9.475,"Southampton","31-40","No"
"42","Segunda clase","Femenino",27,"Con hermanos o cónyuges","Sin hijos ni padres",21,"Southampton","21-30","No"
"43","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Cherbourg","21-30","No"
"44","Segunda clase","Femenino",3,"Con hermanos o cónyuges","Con hijos o padres",41.5792,"Cherbourg","0-10","Sí"
"45","Tercera clase","Femenino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8792,"Queenstown","11-20","Sí"
"46","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"47","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",15.5,"Queenstown","21-30","No"
"48","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"49","Tercera clase","Masculino",28,"Con hermanos o cónyuges","Sin hijos ni padres",21.6792,"Cherbourg","21-30","No"
"50","Tercera clase","Femenino",18,"Con hermanos o cónyuges","Sin hijos ni padres",17.8,"Southampton","11-20","No"
"51","Tercera clase","Masculino",7,"Con hermanos o cónyuges","Con hijos o padres",39.6875,"Southampton","0-10","No"
"52","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8,"Southampton","21-30","No"
"53","Primera clase","Femenino",49,"Con hermanos o cónyuges","Sin hijos ni padres",76.7292,"Cherbourg","41-50","Sí"
"54","Segunda clase","Femenino",29,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","21-30","Sí"
"55","Primera clase","Masculino",65,"Sin hermanos ni cónyuges","Con hijos o padres",61.9792,"Cherbourg","61-70","No"
"56","Primera clase","Masculino",39,"Sin hermanos ni cónyuges","Sin hijos ni padres",35.5,"Southampton","31-40","Sí"
"57","Segunda clase","Femenino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","Sí"
"58","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","No"
"59","Segunda clase","Femenino",5,"Con hermanos o cónyuges","Con hijos o padres",27.75,"Southampton","0-10","Sí"
"60","Tercera clase","Masculino",11,"Con hermanos o cónyuges","Con hijos o padres",46.9,"Southampton","11-20","No"
"61","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","No"
"62","Primera clase","Femenino",38,"Sin hermanos ni cónyuges","Sin hijos ni padres",80,"Southampton","31-40","Sí"
"63","Primera clase","Masculino",45,"Con hermanos o cónyuges","Sin hijos ni padres",83.475,"Southampton","41-50","No"
"64","Tercera clase","Masculino",4,"Con hermanos o cónyuges","Con hijos o padres",27.9,"Southampton","0-10","No"
"65","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",27.7208,"Cherbourg","41-50","No"
"66","Tercera clase","Masculino",9,"Con hermanos o cónyuges","Con hijos o padres",15.2458,"Cherbourg","0-10","Sí"
"67","Segunda clase","Femenino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","Sí"
"68","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.1583,"Southampton","11-20","No"
"69","Tercera clase","Femenino",17,"Con hermanos o cónyuges","Con hijos o padres",7.925,"Southampton","11-20","Sí"
"70","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",8.6625,"Southampton","21-30","No"
"71","Segunda clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","31-40","No"
"72","Tercera clase","Femenino",16,"Con hermanos o cónyuges","Con hijos o padres",46.9,"Southampton","11-20","No"
"73","Segunda clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",73.5,"Southampton","21-30","No"
"74","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",14.4542,"Cherbourg","21-30","No"
"75","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",56.4958,"Southampton","31-40","Sí"
"76","Tercera clase","Masculino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.65,"Southampton","21-30","No"
"77","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"78","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"79","Segunda clase","Masculino",0,"Sin hermanos ni cónyuges","Con hijos o padres",29,"Southampton","0-10","Sí"
"80","Tercera clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.475,"Southampton","21-30","Sí"
"81","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",9,"Southampton","21-30","No"
"82","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5,"Southampton","21-30","Sí"
"83","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7875,"Queenstown","21-30","Sí"
"84","Primera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",47.1,"Southampton","21-30","No"
"85","Segunda clase","Femenino",17,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","11-20","Sí"
"86","Tercera clase","Femenino",33,"Con hermanos o cónyuges","Sin hijos ni padres",15.85,"Southampton","31-40","Sí"
"87","Tercera clase","Masculino",16,"Con hermanos o cónyuges","Con hijos o padres",34.375,"Southampton","11-20","No"
"88","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"89","Primera clase","Femenino",23,"Con hermanos o cónyuges","Con hijos o padres",263,"Southampton","21-30","Sí"
"90","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"91","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"92","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","11-20","No"
"93","Primera clase","Masculino",46,"Con hermanos o cónyuges","Sin hijos ni padres",61.175,"Southampton","41-50","No"
"94","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Con hijos o padres",20.575,"Southampton","21-30","No"
"95","Tercera clase","Masculino",59,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","51-60","No"
"96","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"97","Primera clase","Masculino",71,"Sin hermanos ni cónyuges","Sin hijos ni padres",34.6542,"Cherbourg","71-80","No"
"98","Primera clase","Masculino",23,"Sin hermanos ni cónyuges","Con hijos o padres",63.3583,"Cherbourg","21-30","Sí"
"99","Segunda clase","Femenino",34,"Sin hermanos ni cónyuges","Con hijos o padres",23,"Southampton","31-40","Sí"
"100","Segunda clase","Masculino",34,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","31-40","No"
"101","Tercera clase","Femenino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"102","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"103","Primera clase","Masculino",21,"Sin hermanos ni cónyuges","Con hijos o padres",77.2875,"Southampton","21-30","No"
"104","Tercera clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6542,"Southampton","31-40","No"
"105","Tercera clase","Masculino",37,"Con hermanos o cónyuges","Sin hijos ni padres",7.925,"Southampton","31-40","No"
"106","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"107","Tercera clase","Femenino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.65,"Southampton","21-30","Sí"
"108","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","Sí"
"109","Tercera clase","Masculino",38,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","31-40","No"
"110","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",24.15,"Queenstown","21-30","Sí"
"111","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",52,"Southampton","41-50","No"
"112","Tercera clase","Femenino",14,"Con hermanos o cónyuges","Sin hijos ni padres",14.4542,"Cherbourg","11-20","No"
"113","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"114","Tercera clase","Femenino",20,"Con hermanos o cónyuges","Sin hijos ni padres",9.825,"Southampton","11-20","No"
"115","Tercera clase","Femenino",17,"Sin hermanos ni cónyuges","Sin hijos ni padres",14.4583,"Cherbourg","11-20","No"
"116","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","21-30","No"
"117","Tercera clase","Masculino",70,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","61-70","No"
"118","Segunda clase","Masculino",29,"Con hermanos o cónyuges","Sin hijos ni padres",21,"Southampton","21-30","No"
"119","Primera clase","Masculino",24,"Sin hermanos ni cónyuges","Con hijos o padres",247.5208,"Cherbourg","21-30","No"
"120","Tercera clase","Femenino",2,"Con hermanos o cónyuges","Con hijos o padres",31.275,"Southampton","0-10","No"
"121","Segunda clase","Masculino",21,"Con hermanos o cónyuges","Sin hijos ni padres",73.5,"Southampton","21-30","No"
"122","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"123","Segunda clase","Masculino",32,"Con hermanos o cónyuges","Sin hijos ni padres",30.0708,"Cherbourg","31-40","No"
"124","Segunda clase","Femenino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"125","Primera clase","Masculino",54,"Sin hermanos ni cónyuges","Con hijos o padres",77.2875,"Southampton","51-60","No"
"126","Tercera clase","Masculino",12,"Con hermanos o cónyuges","Sin hijos ni padres",11.2417,"Cherbourg","11-20","Sí"
"127","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"128","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.1417,"Southampton","21-30","Sí"
"129","Tercera clase","Femenino",17,"Con hermanos o cónyuges","Con hijos o padres",22.3583,"Cherbourg","11-20","Sí"
"130","Tercera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",6.975,"Southampton","41-50","No"
"131","Tercera clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Cherbourg","31-40","No"
"132","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.05,"Southampton","11-20","No"
"133","Tercera clase","Femenino",47,"Con hermanos o cónyuges","Sin hijos ni padres",14.5,"Southampton","41-50","No"
"134","Segunda clase","Femenino",29,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","21-30","Sí"
"135","Segunda clase","Masculino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"136","Segunda clase","Masculino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",15.0458,"Cherbourg","21-30","No"
"137","Primera clase","Femenino",19,"Sin hermanos ni cónyuges","Con hijos o padres",26.2833,"Southampton","11-20","Sí"
"138","Primera clase","Masculino",37,"Con hermanos o cónyuges","Sin hijos ni padres",53.1,"Southampton","31-40","No"
"139","Tercera clase","Masculino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.2167,"Southampton","11-20","No"
"140","Primera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",79.2,"Cherbourg","21-30","No"
"141","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Con hijos o padres",15.2458,"Cherbourg","21-30","No"
"142","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Southampton","21-30","Sí"
"143","Tercera clase","Femenino",24,"Con hermanos o cónyuges","Sin hijos ni padres",15.85,"Southampton","21-30","Sí"
"144","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",6.75,"Queenstown","11-20","No"
"145","Segunda clase","Masculino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",11.5,"Southampton","11-20","No"
"146","Segunda clase","Masculino",19,"Con hermanos o cónyuges","Con hijos o padres",36.75,"Southampton","11-20","No"
"147","Tercera clase","Masculino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7958,"Southampton","21-30","Sí"
"148","Tercera clase","Femenino",9,"Con hermanos o cónyuges","Con hijos o padres",34.375,"Southampton","0-10","No"
"149","Segunda clase","Masculino",36,"Sin hermanos ni cónyuges","Con hijos o padres",26,"Southampton","31-40","No"
"150","Segunda clase","Masculino",42,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","41-50","No"
"151","Segunda clase","Masculino",51,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.525,"Southampton","51-60","No"
"152","Primera clase","Femenino",22,"Con hermanos o cónyuges","Sin hijos ni padres",66.6,"Southampton","21-30","Sí"
"153","Tercera clase","Masculino",55,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","51-60","No"
"154","Tercera clase","Masculino",40,"Sin hermanos ni cónyuges","Con hijos o padres",14.5,"Southampton","31-40","No"
"155","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.3125,"Southampton","21-30","No"
"156","Primera clase","Masculino",51,"Sin hermanos ni cónyuges","Con hijos o padres",61.3792,"Cherbourg","51-60","No"
"157","Tercera clase","Femenino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7333,"Queenstown","11-20","Sí"
"158","Tercera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"159","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","21-30","No"
"160","Tercera clase","Masculino",29,"Con hermanos o cónyuges","Con hijos o padres",69.55,"Southampton","21-30","No"
"161","Tercera clase","Masculino",44,"Sin hermanos ni cónyuges","Con hijos o padres",16.1,"Southampton","41-50","No"
"162","Segunda clase","Femenino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",15.75,"Southampton","31-40","Sí"
"163","Tercera clase","Masculino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","No"
"164","Tercera clase","Masculino",17,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","11-20","No"
"165","Tercera clase","Masculino",1,"Con hermanos o cónyuges","Con hijos o padres",39.6875,"Southampton","0-10","No"
"166","Tercera clase","Masculino",9,"Sin hermanos ni cónyuges","Con hijos o padres",20.525,"Southampton","0-10","Sí"
"167","Primera clase","Femenino",35,"Sin hermanos ni cónyuges","Con hijos o padres",55,"Southampton","31-40","Sí"
"168","Tercera clase","Femenino",45,"Con hermanos o cónyuges","Con hijos o padres",27.9,"Southampton","41-50","No"
"169","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",25.925,"Southampton","41-50","No"
"170","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",56.4958,"Southampton","21-30","No"
"171","Primera clase","Masculino",61,"Sin hermanos ni cónyuges","Sin hijos ni padres",33.5,"Southampton","61-70","No"
"172","Tercera clase","Masculino",4,"Con hermanos o cónyuges","Con hijos o padres",29.125,"Queenstown","0-10","No"
"173","Tercera clase","Femenino",1,"Con hermanos o cónyuges","Con hijos o padres",11.1333,"Southampton","0-10","Sí"
"174","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","21-30","No"
"175","Primera clase","Masculino",56,"Sin hermanos ni cónyuges","Sin hijos ni padres",30.6958,"Cherbourg","51-60","No"
"176","Tercera clase","Masculino",18,"Con hermanos o cónyuges","Con hijos o padres",7.8542,"Southampton","11-20","No"
"177","Tercera clase","Masculino",2,"Con hermanos o cónyuges","Con hijos o padres",25.4667,"Southampton","0-10","No"
"178","Primera clase","Femenino",50,"Sin hermanos ni cónyuges","Sin hijos ni padres",28.7125,"Cherbourg","41-50","No"
"179","Segunda clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"180","Tercera clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"181","Tercera clase","Femenino",29,"Con hermanos o cónyuges","Con hijos o padres",69.55,"Southampton","21-30","No"
"182","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",15.05,"Cherbourg","31-40","No"
"183","Tercera clase","Masculino",9,"Con hermanos o cónyuges","Con hijos o padres",31.3875,"Southampton","0-10","No"
"184","Segunda clase","Masculino",1,"Con hermanos o cónyuges","Con hijos o padres",39,"Southampton","0-10","Sí"
"185","Tercera clase","Femenino",4,"Sin hermanos ni cónyuges","Con hijos o padres",22.025,"Southampton","0-10","Sí"
"186","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",50,"Southampton","41-50","No"
"187","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",15.5,"Queenstown","21-30","Sí"
"188","Primera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","41-50","Sí"
"189","Tercera clase","Masculino",40,"Con hermanos o cónyuges","Con hijos o padres",15.5,"Queenstown","31-40","No"
"190","Tercera clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","31-40","No"
"191","Segunda clase","Femenino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"192","Segunda clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","11-20","No"
"193","Tercera clase","Femenino",19,"Con hermanos o cónyuges","Sin hijos ni padres",7.8542,"Southampton","11-20","Sí"
"194","Segunda clase","Masculino",3,"Con hermanos o cónyuges","Con hijos o padres",26,"Southampton","0-10","Sí"
"195","Primera clase","Femenino",44,"Sin hermanos ni cónyuges","Sin hijos ni padres",27.7208,"Cherbourg","41-50","Sí"
"196","Primera clase","Femenino",58,"Sin hermanos ni cónyuges","Sin hijos ni padres",146.5208,"Cherbourg","51-60","Sí"
"197","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"198","Tercera clase","Masculino",42,"Sin hermanos ni cónyuges","Con hijos o padres",8.4042,"Southampton","41-50","No"
"199","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"200","Segunda clase","Femenino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"201","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5,"Southampton","21-30","No"
"202","Tercera clase","Masculino",29,"Con hermanos o cónyuges","Con hijos o padres",69.55,"Southampton","21-30","No"
"203","Tercera clase","Masculino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",6.4958,"Southampton","31-40","No"
"204","Tercera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","41-50","No"
"205","Tercera clase","Masculino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","11-20","Sí"
"206","Tercera clase","Femenino",2,"Sin hermanos ni cónyuges","Con hijos o padres",10.4625,"Southampton","0-10","No"
"207","Tercera clase","Masculino",32,"Con hermanos o cónyuges","Sin hijos ni padres",15.85,"Southampton","31-40","No"
"208","Tercera clase","Masculino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",18.7875,"Cherbourg","21-30","Sí"
"209","Tercera clase","Femenino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","11-20","Sí"
"210","Primera clase","Masculino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",31,"Cherbourg","31-40","Sí"
"211","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.05,"Southampton","21-30","No"
"212","Segunda clase","Femenino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",21,"Southampton","31-40","Sí"
"213","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"214","Segunda clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"215","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"216","Primera clase","Femenino",31,"Con hermanos o cónyuges","Sin hijos ni padres",113.275,"Cherbourg","31-40","Sí"
"217","Tercera clase","Femenino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","21-30","Sí"
"218","Segunda clase","Masculino",42,"Con hermanos o cónyuges","Sin hijos ni padres",27,"Southampton","41-50","No"
"219","Primera clase","Femenino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",76.2917,"Cherbourg","31-40","Sí"
"220","Segunda clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","No"
"221","Tercera clase","Masculino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","11-20","Sí"
"222","Segunda clase","Masculino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"223","Tercera clase","Masculino",51,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","51-60","No"
"224","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"225","Primera clase","Masculino",38,"Con hermanos o cónyuges","Sin hijos ni padres",90,"Southampton","31-40","Sí"
"226","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.35,"Southampton","21-30","No"
"227","Segunda clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","11-20","Sí"
"228","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","11-20","No"
